entity_type,entity_id,entity_slug,full_slug
artist,1181,dtx-fena-gitu-mr-tee-boutross,dtx-fena-gitu-mr-tee-boutross
artist,1182,boutross-lilmaina,boutross-lilmaina
artist,1183,boutross-savara-fathermoh,boutross-savara-fathermoh
artist,1184,boutross-wakadinali,boutross-wakadinali
artist,1185,blaiz-fayah-boutross-mafio-house,blaiz-fayah-boutross-mafio-house
artist,1186,lilmaina-ajay-boutross,lilmaina-ajay-boutross
artist,1187,wangechi-domani-mkadinali,wangechi-domani-mkadinali
artist,1188,wangechi-scar-mkadinali,wangechi-scar-mkadinali
artist,1189,femi-one-wangechi,femi-one-wangechi
artist,119,dj-moon-ke,dj-moon-ke
artist,1190,wangechi-scar-mkadinali-wendy-kay,wangechi-scar-mkadinali-wendy-kay
artist,1191,wangechi-buruklyn-boyz,wangechi-buruklyn-boyz
artist,1192,teslah-king-kaka,teslah-king-kaka
artist,1193,vic-west-teslah,vic-west-teslah
artist,1194,dtx-joefes-teslah-unspoken-salaton,dtx-joefes-teslah-unspoken-salaton
artist,1195,vic-west-brandy-maina-teslah-ssaru,vic-west-brandy-maina-teslah-ssaru
artist,1196,teslah-wanjine,teslah-wanjine
artist,1197,teslah-bensoul,teslah-bensoul
artist,1198,teslah-unspoken-salaton-mordecai-dex,teslah-unspoken-salaton-mordecai-dex
artist,1199,teslah-iyanii-unspoken-salaton,teslah-iyanii-unspoken-salaton
artist,12,afamefuna,afamefuna
artist,120,dj-mura,dj-mura
artist,1200,buruklyn-boyz-big-yasa-double-trouble-young-nc,buruklyn-boyz-big-yasa-double-trouble-young-nc
artist,1201,buruklyn-boyz-ajay,buruklyn-boyz-ajay
artist,1202,buruklyn-boyz-ajay-sewer-sydaa,buruklyn-boyz-ajay-sewer-sydaa
artist,1203,buruklyn-boyz-ajay-mr-right,buruklyn-boyz-ajay-mr-right
artist,1204,lilmaina-buruklyn-boyz,lilmaina-buruklyn-boyz
artist,1205,juliani-mc-l-c,juliani-mc-l-c
artist,1206,willis-chimano-chimano,willis-chimano-chimano
artist,1207,e-sir-big-pin-k-rupt,e-sir-big-pin-k-rupt
artist,1208,e-sir-nameless,e-sir-nameless
artist,1209,e-sir-talia-oyando,e-sir-talia-oyando
artist,121,dj-tunez,dj-tunez
artist,1210,e-sir-mr-lenny,e-sir-mr-lenny
artist,1211,e-sir-brenda,e-sir-brenda
artist,1212,e-sir-big-pin,e-sir-big-pin
artist,1213,kleptomaniax-mr-lenny,kleptomaniax-mr-lenny
artist,1214,kleptomaniax-professor-jay,kleptomaniax-professor-jay
